zone,season,winter_start,winter_end,winter_start_day_of_year,winter_duration_days
Etelä-Suomi,2022/2023,2022-11-18,2023-01-11,322,54.0
Etelä-Suomi,2023/2024,2023-11-14,2024-02-22,318,100.0
Etelä-Suomi,2024/2025,2024-12-31,2025-01-14,366,14.0
Keski-Suomi,2022/2023,2022-11-16,2023-01-11,320,56.0
Keski-Suomi,2023/2024,2023-10-20,2023-11-04,293,15.0
Keski-Suomi,2024/2025,2024-11-18,2024-11-25,323,7.0
Keski-Suomi,2025/2026,2025-11-17,,321,
Lappi,2022/2023,2022-10-24,2023-04-06,297,164.0
Lappi,2023/2024,2023-10-06,2024-04-09,279,186.0
Lappi,2024/2025,2024-10-29,2025-05-07,303,190.0
Lappi,2025/2026,2025-11-07,,311,
Pohjois-Suomi,2022/2023,2022-11-15,2023-04-07,319,143.0
Pohjois-Suomi,2023/2024,2023-10-18,2024-04-08,291,173.0
Pohjois-Suomi,2024/2025,2024-10-31,2024-11-12,305,12.0
Pohjois-Suomi,2025/2026,2025-11-14,,318,
